2025-10-27 14:47:30.004 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:48:25.613 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:48:50.115 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:49:45.699 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:50:10.591 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:51:06.160 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:51:31.023 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:52:26.422 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:52:51.442 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:53:46.536 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:54:11.590 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
